日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2006/05/29,32.0182,-,-,-,-,-,-,-,-,-
2006/05/30,32.0468,-,-,-,-,-,-,-,-,-
2006/06/01,32.0227,-,-,-,-,-,-,-,-,-
2006/06/02,32.055,-,-,-,-,-,-,-,-,-
2006/06/05,31.9698,-,-,-,-,-,-,-,-,-
2006/06/06,32.0702,-,-,-,-,-,-,-,-,-
2006/06/07,32.1055,-,-,-,-,-,-,-,-,-
2006/06/08,32.3542,-,-,-,-,-,-,-,-,-
2006/06/09,32.5135,-,-,-,-,-,-,-,-,-
2006/06/12,32.5077,-,-,-,-,-,-,-,-,-
2006/06/13,32.6555,-,-,-,-,-,-,-,-,-
2006/06/14,32.6887,-,-,-,-,-,-,-,-,-
2006/06/15,32.4877,-,-,-,-,-,-,-,-,-
2006/06/16,32.4405,-,-,-,-,-,-,-,-,-
2006/06/19,32.6265,-,-,-,-,-,-,-,-,-
2006/06/20,32.5917,-,-,-,-,-,-,-,-,-
2006/06/21,32.567,-,-,-,-,-,-,-,-,-
2006/06/22,32.5992,-,-,-,-,-,-,-,-,-
2006/06/23,32.6532,-,-,-,-,-,-,-,-,-
2006/06/26,32.7435,-,-,-,-,-,-,-,-,-
2006/06/27,32.6613,-,-,-,-,-,-,-,-,-
2006/06/28,32.6855,-,-,-,-,-,-,-,-,-
2006/06/29,32.6457,-,-,-,-,-,-,-,-,-
2006/06/30,32.4498,-,-,-,-,-,-,-,-,-
2006/07/03,32.324,-,-,-,-,-,-,-,-,-
2006/07/04,32.2792,-,-,-,-,-,-,-,-,-
2006/07/05,32.2903,-,-,-,-,-,-,-,-,-
2006/07/06,32.4515,-,-,-,-,-,-,-,-,-
2006/07/07,32.3987,-,-,-,-,-,-,-,-,-
2006/07/10,32.3277,-,-,-,-,-,-,-,-,-
2006/07/11,32.3813,-,-,-,-,-,-,-,-,-
2006/07/12,32.4992,-,-,-,-,-,-,-,-,-
2006/07/13,32.5592,-,-,-,-,-,-,-,-,-
2006/07/14,32.6582,-,-,-,-,-,-,-,-,-
2006/07/17,32.7597,-,-,-,-,-,-,-,-,-
2006/07/18,32.8648,-,-,-,-,-,-,-,-,-
2006/07/19,32.8757,-,-,-,-,-,-,-,-,-
2006/07/20,32.7515,-,-,-,-,-,-,-,-,-
2006/07/21,32.771,-,-,-,-,-,-,-,-,-
2006/07/24,32.8285,-,-,-,-,-,-,-,-,-
2006/07/25,32.8462,-,-,-,-,-,-,-,-,-
