日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2012/01/02,30.326,-,1.29345,76.93,1.5515,1.0222,7.7668,-,-,-
2012/01/03,30.297,-,1.2982,76.81,1.5553,1.02965,7.7695,-,-,-
2012/01/04,30.267,-,1.3033,76.69,1.56395,1.0355,7.76935,-,-,-
2012/01/05,30.269,-,1.29205,76.73,1.55995,1.03235,7.7659,-,-,-
2012/01/06,30.205,-,1.27745,77.215,1.54895,1.02235,7.76635,-,-,-
2012/01/09,30.236,-,1.2708,76.935,1.54255,1.01715,7.7647,-,-,-
2012/01/10,30.057,-,1.2787,76.79,1.54825,1.0309,7.7683,-,-,-
2012/01/11,29.94,-,1.27405,76.93,1.54535,1.0279,7.7682,-,-,-
2012/01/12,29.957,-,1.27185,76.865,1.5321,1.03025,7.768,-,-,-
2012/01/13,29.97,-,1.28345,76.77,1.53485,1.03255,7.7681,-,-,-
2012/01/16,30.007,-,1.26445,76.835,1.5309,1.02865,7.7683,-,-,-
2012/01/17,30.002,-,1.27265,76.71,1.5365,1.03785,7.7674,-,-,-
2012/01/18,29.947,-,1.27745,76.685,1.53475,1.03905,7.7628,-,-,-
2012/01/30,29.74,-,1.3178,76.66,1.57105,1.05905,7.7568,-,-,-
2012/01/31,29.625,-,1.31835,76.24,1.57335,1.0622,7.7563,-,-,-
2012/02/01,29.634,-,1.30655,76.2,1.57505,1.06045,7.7567,-,-,-
2012/02/02,29.519,-,1.31705,76.145,1.5844,1.07175,7.7549,-,-,-
2012/02/03,29.527,-,1.3139,76.18,1.58165,1.06855,7.7565,-,-,-
2012/02/04,29.473,-,1.31505,76.59,1.58185,1.0771,7.754,-,-,-
2012/02/06,29.559,-,1.30865,76.785,1.57755,1.07205,7.7551,-,-,-
2012/02/07,29.588,-,1.3104,76.72,1.5806,1.07855,7.754,-,-,-
2012/02/08,29.511,-,1.32555,77.055,1.59035,1.08045,7.7537,-,-,-
2012/02/09,29.464,-,1.32755,77.195,1.5826,1.0809,7.7553,-,-,-
2012/02/10,29.496,-,1.3265,77.64,1.57895,1.0717,7.7562,-,-,-
2012/02/13,29.498,-,1.3256,77.595,1.5794,1.0746,7.7557,-,-,-
2012/02/14,29.566,-,1.3161,77.875,1.57085,1.0682,7.7543,-,-,-
2012/02/15,29.532,-,1.317,78.495,1.57235,1.0749,7.7542,-,-,-
2012/02/16,29.563,-,1.3015,78.455,1.5667,1.06605,7.7549,-,-,-
2012/02/17,29.557,-,1.31305,79.07,1.5806,1.07745,7.7549,-,-,-
2012/02/20,29.539,-,1.3211,79.515,1.58725,1.07725,7.7539,-,-,-
2012/02/21,29.571,-,1.3268,79.745,1.58515,1.0727,7.7552,-,-,-
2012/02/22,29.562,-,1.32285,80.065,1.578,1.06575,7.7547,-,-,-
2012/02/23,29.588,-,1.3259,80.18,1.56715,1.065,7.7559,-,-,-
2012/02/24,29.551,-,1.3373,80.345,1.57465,1.0743,7.7549,-,-,-
2012/02/29,29.489,-,1.348,80.465,1.5932,1.08085,7.75475,-,-,-
2012/03/01,29.401,-,1.3351,80.9,1.59285,1.0757,7.7553,-,-,-
2012/03/02,29.437,-,1.33045,81.43,1.59445,1.07925,7.7557,-,-,-
2012/03/03,29.43,-,1.3194,81.805,1.5832,1.07305,7.75875,-,-,-
2012/03/05,29.484,-,1.31885,81.385,1.5818,1.07065,7.7606,-,-,-
2012/03/06,29.52,-,1.31955,81.38,1.5852,1.06135,7.7629,-,-,-
2012/03/07,29.538,-,1.31415,80.685,1.57335,1.05445,7.7629,-,-,-
2012/03/08,29.49,-,1.3172,81.26,1.57515,1.06065,7.7631,-,-,-
2012/03/09,29.469,-,1.32655,81.825,1.5823,1.06575,7.7577,-,-,-
2012/03/12,29.506,-,1.309,82.275,1.5663,1.05335,7.758,-,-,-
2012/03/13,29.481,-,1.316,82.035,1.56495,1.0545,7.7592,-,-,-
2012/03/14,29.508,-,1.30665,83.235,1.56815,1.05455,7.7611,-,-,-
2012/03/15,29.548,-,1.30255,84.055,1.56475,1.04555,7.7621,-,-,-
2012/03/16,29.519,-,1.3088,83.46,1.57165,1.05365,7.7621,-,-,-
2012/03/19,29.509,-,1.3168,83.415,1.5841,1.06015,7.7621,-,-,-
2012/03/20,29.516,-,1.3232,83.435,1.58715,1.0566,7.7629,-,-,-
2012/03/21,29.549,-,1.32715,83.665,1.58755,1.04835,7.7638,-,-,-
2012/03/22,29.54,-,1.3236,83.33,1.58695,1.041,7.7637,-,-,-
2012/03/23,29.56,-,1.3202,82.815,1.58165,1.03865,7.7669,-,-,-
2012/03/26,29.6,-,1.32545,82.695,1.5856,1.04455,7.7682,-,-,-
2012/03/27,29.575,-,1.33525,82.875,1.59625,1.05215,7.7669,-,-,-
2012/03/28,29.55,-,1.3334,82.93,1.5961,1.04355,7.76325,-,-,-
2012/03/29,29.561,-,1.33155,82.685,1.59115,1.036,7.76505,-,-,-
2012/03/30,29.55,-,1.33635,82.03,1.59895,1.04085,7.7643,-,-,-
2012/04/02,29.487,-,1.3341,83.115,1.5991,1.0404,7.7647,-,-,-
2012/04/03,29.472,-,1.33385,82.085,1.60315,1.04075,7.76515,-,-,-
2012/04/05,29.492,-,1.3154,82.245,1.59015,1.02985,7.7654,-,-,-
2012/04/06,29.489,-,1.307,82.275,1.5865,1.03155,7.76535,-,-,-
2012/04/09,29.54,-,1.3068,81.43,1.5868,1.02845,7.7661,-,-,-
2012/04/10,29.515,-,1.31115,81.315,1.59175,1.03085,7.76535,-,-,-
2012/04/11,29.532,-,1.31005,80.84,1.58855,1.0288,7.7648,-,-,-
2012/04/12,29.517,-,1.31425,80.925,1.59285,1.03835,7.7638,-,-,-
2012/04/13,29.503,-,1.3171,81.03,1.5945,1.03935,7.76235,-,-,-
2012/04/16,29.522,-,1.30285,80.53,1.5828,1.0323,7.759,-,-,-
2012/04/17,29.514,-,1.3111,80.435,1.58725,1.0317,7.7629,-,-,-
2012/04/18,29.5,-,1.31165,81.385,1.59275,1.04045,7.76055,-,-,-
2012/04/19,29.5,-,1.31165,81.42,1.6026,1.03595,7.7604,-,-,-
2012/04/20,29.502,-,1.3143,81.54,1.6058,1.03315,7.76185,-,-,-
2012/04/23,29.48,-,1.31935,81.285,1.61185,1.0343,7.76065,-,-,-
2012/04/24,29.497,-,1.31575,80.88,1.61245,1.02615,7.76055,-,-,-
