日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2011/01/03,29.118,-,1.33005,81.31,1.5556,1.0205,7.7734,-,-,-
2011/01/04,29.102,-,1.3356,82.14,1.54815,1.01025,7.7693,-,-,-
2011/01/05,29.23,-,1.3274,81.97,1.5556,1.00185,7.7709,-,-,-
2011/01/06,29.23,-,1.31395,83.23,1.5506,0.9976,7.77335,-,-,-
2011/01/07,29.32,-,1.2991,83.47,1.54415,0.9935,7.77435,-,-,-
2011/01/10,29.23,-,1.2908,83.095,1.5545,0.9955,7.7744,-,-,-
2011/01/11,29.2,-,1.2942,83.07,1.55525,0.98305,7.77775,-,-,-
2011/01/12,29.08,-,1.29875,83.135,1.5635,0.9853,7.77555,-,-,-
2011/01/13,29.045,-,1.31075,83.005,1.5748,0.9951,7.774,-,-,-
2011/01/14,29.025,-,1.3342,82.51,1.58395,0.9957,7.7765,-,-,-
2011/01/17,29.018,-,1.3328,82.915,1.58495,0.9874,7.7762,-,-,-
2011/01/18,29.03,-,1.3315,82.525,1.59375,0.9944,7.7777,-,-,-
2011/01/19,29.02,-,1.34445,82.22,1.60085,1.0032,7.777,-,-,-
2011/01/20,29.042,-,1.3453,82.145,1.59415,0.9946,7.7814,-,-,-
2011/01/21,29.09,-,1.3485,82.905,1.5905,0.98545,7.7859,-,-,-
2011/01/24,29.051,-,1.3601,82.755,1.5973,0.989,7.7963,-,-,-
2011/01/25,29.02,-,1.3667,82.415,1.60055,0.99575,7.7956,-,-,-
2011/01/26,29.032,-,1.3694,82.025,1.583,0.99855,7.786,-,-,-
2011/01/27,29.038,-,1.37055,82.145,1.59095,0.99535,7.7867,-,-,-
2011/01/28,29.024,-,1.3712,82.65,1.58995,0.99005,7.7902,-,-,-
2011/02/08,28.918,-,1.3632,82.22,1.6147,1.0155,7.7822,-,-,-
2011/02/09,28.779,-,1.36465,82.485,1.60705,1.0135,7.7856,-,-,-
2011/02/10,28.87,-,1.3694,82.53,1.6099,1.00685,7.7885,-,-,-
2011/02/11,29.098,-,1.3578,83.47,1.6066,0.9989,7.79145,-,-,-
2011/02/14,29.357,-,1.3535,83.175,1.6068,1.0055,7.79315,-,-,-
2011/02/15,29.404,-,1.3514,83.42,1.60465,1.0043,7.7927,-,-,-
2011/02/16,29.41,-,1.35255,83.745,1.61485,0.99865,7.79265,-,-,-
2011/02/17,29.395,-,1.35715,83.56,1.6103,1.00315,7.7884,-,-,-
2011/02/18,29.341,-,1.3607,83.265,1.618,1.01265,7.7863,-,-,-
2011/02/21,29.369,-,1.3677,83.115,1.6231,1.01165,7.7861,-,-,-
2011/02/22,29.569,-,1.35895,83.325,1.6172,1.0032,7.7899,-,-,-
2011/02/23,29.566,-,1.36905,82.59,1.6174,1.00185,7.7922,-,-,-
2011/02/24,29.67,-,1.3778,82.1,1.62265,1.00675,7.79385,-,-,-
2011/02/25,29.779,-,1.3828,81.915,1.6156,1.01315,7.79335,-,-,-
2011/03/01,29.615,-,1.3807,82.15,1.6263,1.01525,7.78865,-,-,-
2011/03/02,29.637,-,1.37535,81.935,1.62215,1.0093,7.7915,-,-,-
2011/03/03,29.58,-,1.38585,81.84,1.6318,1.01625,7.7924,-,-,-
2011/03/04,29.366,-,1.39575,82.365,1.62765,1.01415,7.7905,-,-,-
2011/03/07,29.405,-,1.3977,82.235,1.62405,1.01235,7.7885,-,-,-
2011/03/08,29.348,-,1.3986,82.245,1.62045,1.0118,7.7878,-,-,-
2011/03/09,29.357,-,1.3891,82.865,1.61575,1.00735,7.7893,-,-,-
2011/03/10,29.465,-,1.3875,82.825,1.6165,1.00465,7.7907,-,-,-
2011/03/11,29.571,-,1.3823,82.82,1.6069,1.00265,7.7899,-,-,-
2011/03/14,29.58,-,1.3929,82.185,1.6065,1.0072,7.7918,-,-,-
2011/03/15,29.613,-,1.3936,81.635,1.6123,0.99825,7.7967,-,-,-
2011/03/16,29.531,-,1.39795,80.87,1.60695,0.9933,7.7955,-,-,-
2011/03/17,29.594,-,1.39265,79.335,1.6037,0.98335,7.80215,-,-,-
2011/03/18,29.559,-,1.40725,81.83,1.61625,0.99385,7.7992,-,-,-
2011/03/21,29.569,-,1.4174,80.955,1.62125,1.00185,7.7988,-,-,-
2011/03/22,29.551,-,1.4222,80.865,1.6299,1.00575,7.7982,-,-,-
2011/03/23,29.581,-,1.41795,80.865,1.6366,1.00985,7.7943,-,-,-
