日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2010/01/04,31.865,-,1.42985,92.765,1.6099,0.89745,7.75775,-,-,-
2010/01/05,31.805,-,1.44365,91.825,1.6114,0.9139,7.7564,-,-,-
2010/01/06,31.828,-,1.4352,92.11,1.59645,0.9137,7.756,-,-,-
2010/01/07,31.835,-,1.4395,92.225,1.5995,0.9222,7.7548,-,-,-
2010/01/08,31.865,-,1.43095,93.225,1.5949,0.91495,7.7558,-,-,-
2010/01/11,31.735,-,1.4508,92.27,1.6099,0.93045,7.7555,-,-,-
2010/01/12,31.785,-,1.44875,92.255,1.6088,0.92765,7.75475,-,-,-
2010/01/13,31.803,-,1.44885,91.085,1.6187,0.92365,7.75535,-,-,-
2010/01/14,31.76,-,1.45335,91.725,1.62865,0.9296,7.75655,-,-,-
2010/01/15,31.729,-,1.443,91.135,1.6334,0.92745,7.7584,-,-,-
2010/01/18,31.771,-,1.43775,90.995,1.6314,0.92155,7.76105,-,-,-
2010/01/19,31.772,-,1.4393,90.425,1.64035,0.9235,7.7642,-,-,-
2010/01/20,31.82,-,1.4201,91.12,1.6305,0.91685,7.76415,-,-,-
2010/01/21,31.906,-,1.40875,91.63,1.6259,0.9134,7.76895,-,-,-
2010/01/22,31.969,-,1.41225,89.975,1.62175,0.9026,7.772,-,-,-
2010/01/25,31.945,-,1.4162,90.105,1.6116,0.90615,7.7726,-,-,-
2010/01/26,31.99,-,1.40935,89.805,1.6211,0.89965,7.7701,-,-,-
2010/01/27,32.031,-,1.4068,89.255,1.61255,0.90105,7.77515,-,-,-
2010/01/28,31.975,-,1.4016,90.305,1.6189,0.90155,7.7717,-,-,-
2010/01/29,31.973,-,1.39305,89.925,1.6128,0.89015,7.76755,-,-,-
2010/02/01,32.045,-,1.38785,90.21,1.5956,0.8825,7.7674,-,-,-
2010/02/02,32.06,-,1.392,90.815,1.59405,0.8808,7.7682,-,-,-
2010/02/03,31.995,-,1.39575,90.465,1.5991,0.8861,7.7665,-,-,-
2010/02/04,31.985,-,1.3897,90.905,1.5912,0.8818,7.7673,-,-,-
2010/02/05,32.073,-,1.37075,89.65,1.57305,0.86685,7.77125,-,-,-
2010/02/06,32.05,-,1.36845,89.265,1.56575,0.86785,7.7712,-,-,-
2010/02/08,32.111,-,1.3641,89.345,1.56,0.86625,7.77075,-,-,-
2010/02/09,32.103,-,1.37085,89.39,1.5624,0.86945,7.7698,-,-,-
2010/02/10,32.05,-,1.3749,89.6,1.5673,0.8746,7.7693,-,-,-
2010/02/22,32.015,-,1.36365,91.675,1.548,0.90085,7.7655,-,-,-
2010/02/23,32.038,-,1.36315,91.04,1.553,0.90135,7.76075,-,-,-
2010/02/24,32.041,-,1.3539,90.21,1.5449,0.8926,7.76355,-,-,-
2010/02/25,32.087,-,1.3466,89.725,1.5342,0.88845,7.7655,-,-,-
2010/02/26,32.073,-,1.35845,89.285,1.5272,0.8897,7.7625,-,-,-
2010/03/01,32.029,-,1.36085,89.085,1.5163,0.8975,7.7624,-,-,-
2010/03/02,32.019,-,1.3537,89.345,1.4935,0.8991,7.7645,-,-,-
2010/03/03,31.998,-,1.36505,88.725,1.50525,0.9049,7.76295,-,-,-
2010/03/04,31.96,-,1.36715,88.47,1.50725,0.9015,7.76255,-,-,-
2010/03/05,31.924,-,1.3592,89.27,1.50375,0.90075,7.7631,-,-,-
2010/03/08,31.878,-,1.36825,90.395,1.5164,0.91125,7.7614,-,-,-
