日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2018/01/02,29.628,4.559868,1.2035,112.6,1.35365,0.78305,7.8155,6.49755,12.3471,0.71205
2018/01/03,29.6,4.552302,1.2033,112.33,1.3591,0.78175,7.8177,6.5022,12.445,0.7095
2018/01/04,29.59,4.554226,1.2027,112.645,1.35225,0.78465,7.8183,6.49725,12.2862,0.7122
2018/01/05,29.523,4.555045,1.2057,113.15,1.35515,0.7842,7.8191,6.4814,12.3337,0.7155
2018/01/08,29.523,4.545597,1.1999,113.34,1.35405,0.78335,7.82185,6.49485,12.37065,0.71615
2018/01/09,29.536,4.52713,1.19435,112.785,1.3539,0.78365,7.8221,6.5242,12.4325,0.7179
2018/01/10,29.601,4.534429,1.1945,111.905,1.3514,0.78265,7.8241,6.52805,12.39125,0.718
2018/01/11,29.605,4.543894,1.1939,111.74,1.34855,0.7871,7.8232,6.51535,12.4652,0.72045
2018/01/12,29.6,4.568819,1.2062,111.34,1.35455,0.78685,7.82355,6.4787,12.42715,0.7242
2018/01/15,29.542,4.586514,1.2214,110.72,1.3754,0.7947,7.82425,6.44105,12.36915,0.7276
2018/01/16,29.555,4.593911,1.2258,110.71,1.3788,0.79685,7.82445,6.4335,12.24415,0.72865
2018/01/17,29.56,4.592087,1.2233,110.745,1.37805,0.7961,7.8188,6.43715,12.32195,0.7256
2018/01/18,29.562,4.60035,1.22155,111.195,1.38415,0.79815,7.8186,6.42605,12.244,0.73035
2018/01/19,29.43,4.595141,1.2271,110.71,1.3924,0.80145,7.81695,6.4046,12.1514,0.7297
2018/01/22,29.432,4.596337,1.2241,110.77,1.3899,0.7998,7.8177,6.40335,12.04885,0.72895
2018/01/23,29.402,4.590858,1.224,111.025,1.39535,0.79625,7.8167,6.40445,12.10765,0.7312
2018/01/24,29.302,4.587375,1.2328,109.865,1.40475,0.80275,7.8188,6.38755,12.0274,0.73745
2018/01/25,29.069,4.585925,1.2414,109.09,1.42425,0.80795,7.81695,6.33875,11.9142,0.7362
2018/01/26,29.101,4.605786,1.24825,108.945,1.42575,0.8089,7.819,6.31835,11.8225,0.7371
2018/01/29,29.15,4.605117,1.2399,108.915,1.4128,0.8086,7.81945,6.3299,11.9621,0.733
2018/01/30,29.24,4.605329,1.2343,108.765,1.3987,0.8049,7.81855,6.34915,12.03975,0.72835
2018/01/31,29.15,4.627825,1.24455,108.685,1.41825,0.8094,7.8192,6.29885,11.8737,0.73905
2018/02/01,29.207,4.636407,1.2433,109.465,1.42495,0.80245,7.8209,6.2995,11.8791,0.7365
2018/02/02,29.235,4.652838,1.2506,109.785,1.42455,0.80025,7.8192,6.28325,11.949,0.73635
2018/02/05,29.307,4.647152,1.2444,109.8,1.41055,0.7925,7.8208,6.30645,12.0602,0.7305
2018/02/06,29.386,4.668436,1.2415,109.09,1.39755,0.78735,7.8192,6.2946,12.10875,0.73035
2018/02/07,29.27,4.668331,1.23745,109.05,1.3936,0.78755,7.8197,6.2699,11.91235,0.7321
2018/02/08,29.39,4.633304,1.22595,109.57,1.38755,0.78285,7.819,6.3432,12.07285,0.72085
2018/02/09,29.407,4.658804,1.2274,109.175,1.39575,0.77805,7.8189,6.31215,12.10225,0.72135
2018/02/12,29.4,4.641907,1.2262,108.625,1.3835,0.7813,7.81935,6.3336,11.961,0.7249
2018/02/21,29.245,4.614305,1.23215,107.655,1.3973,0.78515,7.8249,6.3379,11.7117,0.73425
2018/02/22,29.301,4.613355,1.2273,107.36,1.3882,0.7798,7.8238,6.35135,11.7228,0.73165
2018/02/23,29.306,4.627623,1.23,106.89,1.3953,0.7829,7.82275,6.33285,11.6531,0.73075
2018/02/26,29.235,4.636846,1.2329,106.62,1.4038,0.7887,7.8234,6.30495,11.51795,0.73425
2018/02/27,29.23,4.636492,1.2337,107.01,1.39855,0.7853,7.82625,6.30435,11.5553,0.72945
2018/03/01,29.318,4.620487,1.2201,106.86,1.37595,0.7732,7.8273,6.3452,11.8441,0.72115
2018/03/02,29.29,4.613204,1.2259,105.78,1.37645,0.77605,7.82935,6.34915,11.87525,0.7269
2018/03/05,29.292,4.618938,1.2294,105.46,1.3775,0.7736,7.8315,6.3417,11.991,0.7206
2018/03/06,29.287,4.619292,1.23355,106.1,1.38225,0.7765,7.83275,6.34015,11.8395,0.72395
2018/03/07,29.254,4.629504,1.24175,105.675,1.3879,0.78165,7.8345,6.31905,11.8222,0.7294
2018/03/08,29.261,4.622477,1.2403,105.95,1.3896,0.78125,7.8337,6.33015,11.8777,0.7285
2018/03/09,29.3,4.62436,1.2312,106.715,1.383,0.78025,7.8396,6.336,11.9007,0.7277
2018/03/12,29.28,4.631598,1.2331,106.555,1.38685,0.7875,7.84005,6.3218,11.7877,0.7317
2018/03/13,29.252,4.621085,1.2322,106.96,1.38975,0.78665,7.8394,6.3301,11.84595,0.73185
2018/03/14,29.257,4.633928,1.2373,106.68,1.3951,0.78835,7.8415,6.31365,11.75175,0.73275
2018/03/15,29.2,4.623586,1.23705,106.12,1.39835,0.78695,7.8408,6.31545,11.80875,0.73215
2018/03/16,29.231,4.62259,1.2312,105.74,1.39325,0.77915,7.84335,6.3235,11.9426,0.7254
2018/03/19,29.201,4.613232,1.227,105.915,1.3934,0.7694,7.84395,6.32985,12.0644,0.72
2018/03/20,29.175,4.610584,1.2345,106.46,1.40545,0.77025,7.8445,6.32785,11.99505,0.722
2018/03/21,29.189,4.613321,1.2279,106.33,1.4028,0.7695,7.84615,6.3271,11.9773,0.7174
2018/03/22,29.153,4.61527,1.23645,105.7,1.416,0.7756,7.8463,6.31665,11.782,0.72485
2018/03/23,29.17,4.61274,1.23245,105.07,1.4108,0.77275,7.84845,6.3238,11.82205,0.72415
2018/03/26,29.153,4.63696,1.23785,105.13,1.41815,0.7733,7.8473,6.2871,11.6408,0.72835
2018/03/27,29.135,4.65082,1.24415,105.49,1.4158,0.7725,7.84665,6.2645,11.6522,0.72815
2018/03/28,29.163,4.645987,1.24035,105.55,1.41735,0.76635,7.84725,6.27705,11.68955,0.72525
2018/03/29,29.165,4.641843,1.23055,106.585,1.40505,0.767,7.84855,6.28305,11.8084,0.71945
2018/03/30,29.12,4.647377,1.2323,106.19,1.4053,0.77005,7.84855,6.2659,11.83335,0.7245
2018/03/31,29.12,4.644698,1.23245,106.285,1.4015,0.76795,7.8478,6.2695,11.83255,0.7243
2018/04/02,29.142,4.648324,1.2331,106.3,1.4063,0.76855,7.8481,6.26935,11.80955,0.72335
2018/04/03,29.148,4.64488,1.2323,106.17,1.40785,0.7692,7.8491,6.2753,11.81025,0.72525
2018/04/09,29.209,4.629948,1.22805,107.1,1.4103,0.76735,7.8494,6.3087,12.02505,0.72945
2018/04/10,29.19,4.636569,1.23215,106.99,1.41605,0.77225,7.84945,6.2956,12.11965,0.73305
2018/04/11,29.201,4.648244,1.2368,106.985,1.421,0.7746,7.84975,6.28215,12.04055,0.73605
2018/04/12,29.26,4.658602,1.2367,106.905,1.4181,0.7757,7.84985,6.28085,11.98545,0.73865
2018/04/13,29.302,4.666578,1.2343,107.64,1.42875,0.78015,7.84975,6.2791,12.02205,0.73955
2018/04/16,29.425,4.689168,1.236,107.25,1.42605,0.77765,7.84995,6.2751,12.06715,0.7359
2018/04/17,29.362,4.681301,1.23965,106.975,1.43625,0.7783,7.84995,6.2722,12.0195,0.7347
2018/04/18,29.366,4.67677,1.2369,107.325,1.42735,0.7755,7.84995,6.2791,12.0066,0.7316
2018/04/19,29.34,4.681901,1.2383,107.34,1.4197,0.7797,7.84895,6.2667,11.942,0.7313
2018/04/20,29.407,4.680712,1.2327,107.58,1.4054,0.77055,7.8452,6.2826,11.9836,0.72315
2018/04/23,29.528,4.689283,1.22535,107.9,1.4002,0.76545,7.84285,6.2969,12.25865,0.71925
2018/04/24,29.616,4.69227,1.2192,108.855,1.39325,0.76045,7.84575,6.31165,12.3026,0.71135
2018/04/25,29.66,4.691856,1.21955,109.255,1.39395,0.7567,7.84845,6.3216,12.438,0.70765
2018/04/26,29.705,4.695143,1.21645,109.37,1.39075,0.7562,7.84755,6.32675,12.4043,0.706
2018/04/27,29.636,4.677302,1.20835,109.33,1.38885,0.75465,7.8477,6.33615,12.4002,0.7048
2018/04/30,29.605,4.686856,1.2115,109.28,1.3755,0.7553,7.84875,6.3166,12.3481,0.70645
2018/05/02,29.758,4.679386,1.2015,109.765,1.36355,0.7521,7.84975,6.3594,12.57455,0.7027
2018/05/03,29.742,4.678149,1.19965,109.675,1.36115,0.7523,7.8493,6.35765,12.63675,0.7017
