日期,美元／新台幣,人民幣／新台幣,歐元／美元,美元／日幣,英鎊／美元,澳幣／美元,美元／港幣,美元／人民幣,美元／南非幣,紐幣／美元
2008/01/02,32.4283,-,-,-,-,-,-,-,-,-
2008/01/03,32.4745,-,-,-,-,-,-,-,-,-
2008/01/04,32.444,-,-,-,-,-,-,-,-,-
2008/01/07,32.4857,-,-,-,-,-,-,-,-,-
2008/01/08,32.5037,-,-,-,-,-,-,-,-,-
2008/01/09,32.4942,-,-,-,-,-,-,-,-,-
2008/01/10,32.4652,-,-,-,-,-,-,-,-,-
2008/01/11,32.4813,-,-,-,-,-,-,-,-,-
2008/01/14,32.4328,-,-,-,-,-,-,-,-,-
2008/01/15,32.2558,-,-,-,-,-,-,-,-,-
2008/01/16,32.248,-,-,-,-,-,-,-,-,-
2008/01/17,32.2678,-,-,-,-,-,-,-,-,-
2008/01/18,32.3158,-,-,-,-,-,-,-,-,-
2008/01/21,32.326,-,-,-,-,-,-,-,-,-
2008/01/22,32.4378,-,-,-,-,-,-,-,-,-
2008/01/23,32.4072,-,-,-,-,-,-,-,-,-
2008/01/24,32.3418,-,-,-,-,-,-,-,-,-
2008/01/25,32.2963,-,-,-,-,-,-,-,-,-
2008/01/28,32.3278,-,-,-,-,-,-,-,-,-
2008/01/29,32.3047,-,-,-,-,-,-,-,-,-
2008/01/30,32.2805,-,-,-,-,-,-,-,-,-
2008/01/31,32.177,-,-,-,-,-,-,-,-,-
2008/02/01,32.1095,-,-,-,-,-,-,-,-,-
2008/02/12,32.0365,-,-,-,-,-,-,-,-,-
2008/02/13,31.761,-,-,-,-,-,-,-,-,-
2008/02/14,31.5987,-,-,-,-,-,-,-,-,-
2008/02/15,31.7003,-,-,-,-,-,-,-,-,-
2008/02/18,31.7232,-,-,-,-,-,-,-,-,-
2008/02/19,31.7413,-,-,-,-,-,-,-,-,-
2008/02/20,31.6682,-,-,-,-,-,-,-,-,-
2008/02/21,31.5325,-,-,-,-,-,-,-,-,-
2008/02/22,31.4013,-,-,-,-,-,-,-,-,-
2008/02/25,31.3397,-,-,-,-,-,-,-,-,-
2008/02/26,31.2175,-,-,-,-,-,-,-,-,-
2008/02/27,31.0592,-,-,-,-,-,-,-,-,-
2008/02/29,30.7495,-,-,-,-,-,-,-,-,-
2008/03/03,31.0012,-,-,-,-,-,-,-,-,-
2008/03/04,30.638,-,0,0,0,0,0,-,-,-
2008/03/05,30.8288,-,-,-,-,-,-,-,-,-
2008/03/06,30.7425,-,-,-,-,-,-,-,-,-
2008/03/07,30.7303,-,-,-,-,-,-,-,-,-
